date,day_of_week,technician,clock_in,clock_out,hours_worked,tickets_handled
01/16/2024,Mon,T. Amisha,08:00,12:00,4.0,8
01/16/2024,Mon,A. Johnson,13:00,17:00,4.0,18
01/16/2024,Mon,R. Chen,08:00,12:00,4.0,14
01/17/2024,Tue,A. Johnson,08:00,12:00,4.0,14
01/17/2024,Tue,M. Patel,13:00,17:00,4.0,17
01/17/2024,Tue,S. Davis,08:00,12:00,4.0,6
01/18/2024,Wed,T. Amisha,13:00,17:00,4.0,8
01/18/2024,Wed,M. Patel,08:00,12:00,4.0,18
01/18/2024,Wed,S. Davis,13:00,17:00,4.0,17
01/19/2024,Thu,A. Johnson,13:00,17:00,4.0,16
01/19/2024,Thu,R. Chen,08:00,12:00,4.0,7
01/19/2024,Thu,S. Davis,13:00,17:00,4.0,7
01/20/2024,Fri,T. Amisha,09:00,13:00,4.0,14
01/20/2024,Fri,M. Patel,13:00,17:00,4.0,6
01/20/2024,Fri,R. Chen,08:00,12:00,4.0,14
01/23/2024,Mon,T. Amisha,08:00,12:00,4.0,14
01/23/2024,Mon,A. Johnson,13:00,17:00,4.0,6
01/23/2024,Mon,R. Chen,08:00,12:00,4.0,8
01/24/2024,Tue,A. Johnson,08:00,12:00,4.0,5
01/24/2024,Tue,M. Patel,13:00,17:00,4.0,17
01/24/2024,Tue,S. Davis,08:00,12:00,4.0,6
01/25/2024,Wed,T. Amisha,13:00,17:00,4.0,15
01/25/2024,Wed,M. Patel,08:00,12:00,4.0,7
01/25/2024,Wed,S. Davis,13:00,17:00,4.0,17
01/26/2024,Thu,A. Johnson,13:00,17:00,4.0,12
01/26/2024,Thu,R. Chen,08:00,12:00,4.0,4
01/26/2024,Thu,S. Davis,13:00,17:00,4.0,14
01/27/2024,Fri,T. Amisha,09:00,13:00,4.0,6
01/27/2024,Fri,M. Patel,13:00,17:00,4.0,15
01/27/2024,Fri,R. Chen,08:00,12:00,4.0,10
01/30/2024,Mon,T. Amisha,08:00,12:00,4.0,13
01/30/2024,Mon,A. Johnson,13:00,17:00,4.0,17
01/30/2024,Mon,R. Chen,08:00,12:00,4.0,18
01/31/2024,Tue,A. Johnson,08:00,12:00,4.0,6
01/31/2024,Tue,M. Patel,13:00,17:00,4.0,17
01/31/2024,Tue,S. Davis,08:00,12:00,4.0,17
02/01/2024,Wed,T. Amisha,13:00,17:00,4.0,4
02/01/2024,Wed,M. Patel,08:00,12:00,4.0,16
02/01/2024,Wed,S. Davis,13:00,17:00,4.0,11
02/02/2024,Thu,A. Johnson,13:00,17:00,4.0,5
02/02/2024,Thu,R. Chen,08:00,12:00,4.0,16
02/02/2024,Thu,S. Davis,13:00,17:00,4.0,15
02/03/2024,Fri,T. Amisha,09:00,13:00,4.0,8
02/03/2024,Fri,M. Patel,13:00,17:00,4.0,16
02/03/2024,Fri,R. Chen,08:00,12:00,4.0,8
02/06/2024,Mon,T. Amisha,08:00,12:00,4.0,10
02/06/2024,Mon,A. Johnson,13:00,17:00,4.0,18
02/06/2024,Mon,R. Chen,08:00,12:00,4.0,18
02/07/2024,Tue,A. Johnson,08:00,12:00,4.0,8
02/07/2024,Tue,M. Patel,13:00,17:00,4.0,17
02/07/2024,Tue,S. Davis,08:00,12:00,4.0,13
02/08/2024,Wed,T. Amisha,13:00,17:00,4.0,6
02/08/2024,Wed,M. Patel,08:00,12:00,4.0,7
02/08/2024,Wed,S. Davis,13:00,17:00,4.0,10
02/09/2024,Thu,A. Johnson,13:00,17:00,4.0,9
02/09/2024,Thu,R. Chen,08:00,12:00,4.0,16
02/09/2024,Thu,S. Davis,13:00,17:00,4.0,14
02/10/2024,Fri,T. Amisha,09:00,13:00,4.0,16
02/10/2024,Fri,M. Patel,13:00,17:00,4.0,11
02/10/2024,Fri,R. Chen,08:00,12:00,4.0,12
02/13/2024,Mon,T. Amisha,08:00,12:00,4.0,9
02/13/2024,Mon,A. Johnson,13:00,17:00,4.0,14
02/13/2024,Mon,R. Chen,08:00,12:00,4.0,13
02/14/2024,Tue,A. Johnson,08:00,12:00,4.0,9
02/14/2024,Tue,M. Patel,13:00,17:00,4.0,5
02/14/2024,Tue,S. Davis,08:00,12:00,4.0,8
02/15/2024,Wed,T. Amisha,13:00,17:00,4.0,18
02/15/2024,Wed,M. Patel,08:00,12:00,4.0,9
02/15/2024,Wed,S. Davis,13:00,17:00,4.0,15
02/16/2024,Thu,A. Johnson,13:00,17:00,4.0,14
02/16/2024,Thu,R. Chen,08:00,12:00,4.0,16
02/16/2024,Thu,S. Davis,13:00,17:00,4.0,11
02/17/2024,Fri,T. Amisha,09:00,13:00,4.0,10
02/17/2024,Fri,M. Patel,13:00,17:00,4.0,17
02/17/2024,Fri,R. Chen,08:00,12:00,4.0,14
02/20/2024,Mon,T. Amisha,08:00,12:00,4.0,12
02/20/2024,Mon,A. Johnson,13:00,17:00,4.0,6
02/20/2024,Mon,R. Chen,08:00,12:00,4.0,6
02/21/2024,Tue,A. Johnson,08:00,12:00,4.0,11
02/21/2024,Tue,M. Patel,13:00,17:00,4.0,15
02/21/2024,Tue,S. Davis,08:00,12:00,4.0,6
02/22/2024,Wed,T. Amisha,13:00,17:00,4.0,13
02/22/2024,Wed,M. Patel,08:00,12:00,4.0,11
02/22/2024,Wed,S. Davis,13:00,17:00,4.0,12
02/23/2024,Thu,A. Johnson,13:00,17:00,4.0,14
02/23/2024,Thu,R. Chen,08:00,12:00,4.0,8
02/23/2024,Thu,S. Davis,13:00,17:00,4.0,9
02/24/2024,Fri,T. Amisha,09:00,13:00,4.0,15
02/24/2024,Fri,M. Patel,13:00,17:00,4.0,12
02/24/2024,Fri,R. Chen,08:00,12:00,4.0,7
02/27/2024,Mon,T. Amisha,08:00,12:00,4.0,8
02/27/2024,Mon,A. Johnson,13:00,17:00,4.0,8
02/27/2024,Mon,R. Chen,08:00,12:00,4.0,13
02/28/2024,Tue,A. Johnson,08:00,12:00,4.0,13
02/28/2024,Tue,M. Patel,13:00,17:00,4.0,10
02/28/2024,Tue,S. Davis,08:00,12:00,4.0,7
02/29/2024,Wed,T. Amisha,13:00,17:00,4.0,9
02/29/2024,Wed,M. Patel,08:00,12:00,4.0,18
02/29/2024,Wed,S. Davis,13:00,17:00,4.0,13
03/01/2024,Thu,A. Johnson,13:00,17:00,4.0,8
03/01/2024,Thu,R. Chen,08:00,12:00,4.0,11
03/01/2024,Thu,S. Davis,13:00,17:00,4.0,7
03/02/2024,Fri,T. Amisha,09:00,13:00,4.0,11
03/02/2024,Fri,M. Patel,13:00,17:00,4.0,6
03/02/2024,Fri,R. Chen,08:00,12:00,4.0,12
03/05/2024,Mon,T. Amisha,08:00,12:00,4.0,18
03/05/2024,Mon,A. Johnson,13:00,17:00,4.0,9
03/05/2024,Mon,R. Chen,08:00,12:00,4.0,11
03/06/2024,Tue,A. Johnson,08:00,12:00,4.0,6
03/06/2024,Tue,M. Patel,13:00,17:00,4.0,10
03/06/2024,Tue,S. Davis,08:00,12:00,4.0,15
